0,2.66,0,1
0,2.1,1,1
0,4.0,1,0
0,3.74,1,0
0,3.5,3,0
0,3.42,2,0
0,3.1,0,0
2,3.83,4,0
0,3.66,1,1
0,3.0,0,1
0,2.97,2,1
0,4.0,3,1
0,3.3,1,1
4,3.5,2,1
0,3.0599999999999996,2,0
0,1.2999999999999998,1,0
2,3.6999999999999993,1,1
2,3.3,1,1
1,3.7,1,1
0,3.156,1,1
1,2.1,3,0
0,4.0,3,0
3,4.0,0,1
0,3.51,1,0
0,2.625,3,0
0,2.819,2,0
0,3.28,2,0
0,4.0,0,1
0,3.0,3,1
0,3.65,1,1
0,3.9779999999999998,1,1
2,3.19,1,0
1,4.0,3,1
0,3.5150000000000006,1,0
0,4.0,2,1
0,3.5299999999999994,0,1
1,3.68,2,1
0,3.57,0,0
0,4.0,3,0
1,2.5,1,1
0,3.6999999999999993,1,1
0,3.5359999999999996,2,1
1,3.2,3,1
0,2.85,0,1
0,3.8000000000000007,3,1
2,3.599,2,1
0,3.6,2,1
2,3.22,4,0
1,1.5999999999999996,3,0
0,3.8000000000000007,1,1
0,3.689,2,0
0,3.43,1,0
0,3.49,2,0
0,4.0,3,1
0,3.7540000000000013,1,1
3,2.86,3,0
0,4.0,2,0
0,3.5380000000000003,1,1
0,3.3360000000000003,2,0
1,3.16,0,1
1,2.9799999999999995,1,1
0,3.29,0,1
2,3.8900000000000006,1,0
1,2.8439999999999994,2,1
0,2.85,0,1
0,2.2,1,0
1,3.47,3,0
1,3.4019999999999992,2,1
0,3.8000000000000007,3,0
0,3.5999999999999996,1,1
0,4.0,3,1
0,3.08,1,1
0,3.59,2,0
0,3.55,2,1
0,3.8000000000000007,1,1
0,3.39,3,1
0,4.0,3,0
1,3.29,1,0
2,3.3621999999999996,1,0
2,3.28,1,1
0,2.62,3,1
2,2.1,2,0
0,2.656999999999999,2,1
0,2.71,1,1
0,4.0,3,0
0,2.62,3,0
1,1.5,4,1
3,1.2859999999999996,3,0
0,3.5,0,1
0,3.378,1,1
0,3.742000000000001,2,0
0,3.39,3,1
2,3.8930000000000007,1,0
2,2.92,2,0
0,3.1500000000000004,2,0
0,1.1600000000000001,0,1
0,2.45,1,0
0,3.2,2,0
0,3.51,4,1
0,2.9299999999999997,1,1
0,2.75,1,0
0,3.9000000000000004,1,1
0,4.0,2,0
0,3.9000000000000004,2,1
0,3.0,1,1
0,4.0,3,1
1,3.391,3,1
0,3.2,0,1
0,3.3340000000000005,0,1
1,3.05,2,1
0,2.55,1,1
0,3.18,0,1
1,3.8000000000000007,2,1
0,2.48,0,1
0,3.8,1,1
0,4.0,3,1
0,3.436,1,1
0,2.69,2,1
