清华大学,3.0,"南安普顿大学
University of Southampton",申请成功
复旦大学,2.86,"布里斯托大学
University of Bristol",申请失败
浙江大学,4.0,"爱丁堡大学
The University of Edinburgh",申请成功
浙江大学,4.0,"爱丁堡大学
The University of Edinburgh",申请失败
清华大学,4.0,"考文垂大学
Coventry University",申请成功
浙江大学,1.0,"卡迪夫大学
Cardiff University",申请成功
北京大学,3.43,"曼彻斯特大学
The University of Manchester",申请成功
上海交通大学,3.75,"曼彻斯特大学
The University of Manchester",申请失败
浙江大学,2.76,"布鲁内尔大学
Brunel University London",申请失败
上海交通大学,2.5,"曼彻斯特大学
The University of Manchester",申请失败
北京大学,3.34,"巴斯大学
University of Bath",申请失败
清华大学,3.5,"兰卡斯特大学
Lancaster University",申请失败
清华大学,2.9299999999999997,"布里斯托大学
University of Bristol",申请成功
中国人民大学,2.69,"埃克塞特大学
University of Exeter",申请成功
清华大学,3.0999999999999996,"诺丁汉大学
The University of Nottingham",申请成功
上海交通大学,3.0,"南安普顿大学
University of Southampton",申请成功
复旦大学,3.01,"埃克塞特大学
University of Exeter",申请成功
复旦大学,3.53,"伦敦大学国王学院
King’s College London",申请成功
中国人民大学,2.95,"谢菲尔德大学
The University of Sheffield",申请成功
清华大学,2.9299999999999997,"爱丁堡大学
The University of Edinburgh",申请失败
中国人民大学,3.05,"伦敦大学国王学院
King’s College London",申请失败
北京大学,3.34,"杜伦大学
Durham University",申请成功
南京大学,3.69,"拉夫堡大学
Loughborough University",申请成功
浙江大学,3.51,"墨尔本大学
The University of Melbourne",申请成功
南京大学,2.0,"奥克兰大学
The University of Auckland",申请成功
南京大学,2.0,"西澳大学
The University of Western Australia",申请成功
北京大学,3.8000000000000007,"伦敦大学国王学院
King’s College London",申请失败
复旦大学,3.04,"伦敦大学国王学院
King’s College London",申请失败
中国人民大学,2.32,"伦敦大学皇家霍洛威学院
Royal Holloway, University of London",申请成功
南京大学,3.879999999999999,"兰卡斯特大学
Lancaster University",申请成功
清华大学,3.0,"莱斯特大学
University of Leicester",申请成功
复旦大学,3.2,"利兹大学
University of Leeds",申请失败
上海交通大学,3.0,"利兹大学
University of Leeds",申请成功
复旦大学,3.01,"贝尔法斯特女王大学
Queen＇s University Belfast",申请成功
上海交通大学,3.0,"南安普顿大学
University of Southampton",申请成功
中国人民大学,3.08,"伦敦大学国王学院
King’s College London",申请失败
浙江大学,4.0,"曼彻斯特大学
The University of Manchester",申请失败
清华大学,3.0,"卡迪夫大学
Cardiff University",申请成功
复旦大学,2.52,"萨塞克斯大学
University of Sussex",申请成功
北京大学,2.88,"曼彻斯特大学
The University of Manchester",申请失败
上海交通大学,3.51,"伦敦大学国王学院
King’s College London",申请失败
南京大学,3.0,"利兹大学
University of Leeds",申请成功
浙江大学,2.76,"阿伯丁大学
The University of Aberdeen",申请成功
复旦大学,2.52,"纽卡斯尔大学
Newcastle University",申请成功
清华大学,3.0,"伯明翰大学学院
University College Birmingham",申请成功
中国人民大学,3.82,"爱丁堡大学
The University of Edinburgh",申请成功
上海交通大学,3.7,"伦敦大学国王学院
King’s College London",申请成功
中国人民大学,3.2,"伦敦大学国王学院
King’s College London",申请失败
中国人民大学,3.82,"爱丁堡大学
The University of Edinburgh",申请成功
上海交通大学,3.0,"利兹大学
University of Leeds",申请失败
中国人民大学,3.74,"爱丁堡大学
The University of Edinburgh",申请成功
北京大学,3.61,"伦敦大学国王学院
King’s College London",申请成功
复旦大学,2.52,"爱丁堡大学
The University of Edinburgh",申请失败
北京大学,3.3499999999999996,"曼彻斯特大学
The University of Manchester",申请成功
中国人民大学,3.33,"谢菲尔德大学
The University of Sheffield",申请成功
南京大学,3.3599999999999994,"悉尼大学
The University of Sydney",申请失败
中国人民大学,3.32,"伦敦大学国王学院
King’s College London",申请失败
浙江大学,1.0,"基尔大学
Keele University",申请成功
复旦大学,3.01,"利兹大学
University of Leeds",申请失败
南京大学,4.0,"卡迪夫大学
Cardiff University",申请失败
上海交通大学,3.4000000000000004,"伯明翰大学
University of Birmingham",申请成功
复旦大学,3.2,"谢菲尔德大学
The University of Sheffield",申请成功
北京大学,3.61,"曼彻斯特大学
The University of Manchester",申请失败
浙江大学,2.76,"西澳大学
The University of Western Australia",申请成功
复旦大学,2.86,"伦敦大学国王学院
King’s College London",申请失败
浙江大学,3.51,"曼彻斯特大学
The University of Manchester",申请失败
浙江大学,3.6,"曼彻斯特大学
The University of Manchester",申请失败
清华大学,3.0,"萨塞克斯大学
University of Sussex",申请成功
南京大学,2.0,"新南威尔士大学
University of New South Wales",申请成功
上海交通大学,3.0,"曼彻斯特大学
The University of Manchester",申请失败
北京大学,3.19,"曼彻斯特大学
The University of Manchester",申请成功
上海交通大学,3.0,"曼彻斯特大学
The University of Manchester",申请失败
北京大学,3.47,"伦敦大学国王学院
King’s College London",申请失败
浙江大学,4.0,"爱丁堡大学
The University of Edinburgh",申请失败
浙江大学,3.8019999999999996,"曼彻斯特大学
The University of Manchester",申请成功
