desti,from,gpa,result
"","","申请时无均分成绩",""
"拉夫堡大学
Loughborough University","","",""
"曼彻斯特大学
The University of Manchester","","",""
"","","87.12",""
"","","3.27",""
"","","89.22",""
"","南京信息工程大学","",""
"","","申请时无海外学生成绩",""
"","","80",""
"","","","申请成功"
"","暨南大学","",""
"","BPP大学","",""
"","","80.5",""
"","","申请时无海外学生成绩",""
"","华侨大学","",""
"","同济大学","",""
"","斯望西大学","",""
"利兹大学
University of Leeds","","",""
"","","","申请成功"
"","","","申请成功"
"","深圳大学","",""
"","","","申请成功"
"莱斯特大学
University of Leicester","","",""
"","","84",""
"","","","申请失败"
"","","3.2",""
"","","","申请成功"
"","","85.1",""
"","","","申请成功"
"","","2.77",""
"卡迪夫大学
Cardiff University","","",""
"","","申请时无均分成绩",""
"","哈德斯菲尔德大学","",""
"","","2.9",""
"","","","申请成功"
"","","3",""
"格拉斯哥大学
University of Glasgow","","",""
"","北京工业大学","",""
"","吉林财经大学","",""
"","桑德兰大学","",""
"","","","申请失败"
"","浙江工商大学","",""
"","四川大学锦江学院","",""
"","","","申请成功"
"曼彻斯特大学
The University of Manchester","","",""
"卡迪夫大学
Cardiff University","","",""
"","","86",""
"","","","申请成功"
"","","","申请失败"
"","","","申请失败"
"","西南财经大学","",""
"","","","申请失败"
"","","","申请成功"
"","","","申请失败"
"","","4.18",""
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"","","","申请失败"
"伦敦大学国王学院
King’s College London","","",""
"","南京航空航天大学","",""
"","","申请时无合办项目成绩",""
"","西安交通大学","",""
"","","81",""
"","","2.9118",""
"伦敦大学国王学院
King’s College London","","",""
"曼彻斯特大学
The University of Manchester","","",""
"卡迪夫大学
Cardiff University","","",""
"","","85.91",""
"约克大学
University of York","","",""
"","切斯特大学","",""
"","上海立信会计金融学院","",""
"约克大学
University of York","","",""
"","北京师范大学珠海分校","",""
"","","","申请成功"
"","","3.46",""
"","东南大学","",""
"","","","申请失败"
"","","","申请成功"
"","","","申请失败"
"卡迪夫大学
Cardiff University","","",""
"","","","申请成功"
"","","","申请失败"
"","","77",""
"","","78",""
"","北京师范大学珠海分校","",""
"","贵州医科大学","",""
"巴斯大学
University of Bath","","",""
"","","","申请成功"
"","","","申请成功"
"","","2.99",""
"","江苏大学","",""
"","北安普顿大学","",""
"","","","申请失败"
"","","","申请成功"
"","谢菲尔德大学","",""
"","","","申请失败"
"","清华大学2+2留学项目","",""
"伦敦大学玛丽皇后学院
Queen Mary, University of London","","",""
"","","","申请成功"
"","","79",""
"","","","申请失败"
"","","","申请成功"
"","","3.51",""
"利兹大学
University of Leeds","","",""
"","","","申请失败"
"利兹大学
University of Leeds","","",""
"萨塞克斯大学
University of Sussex","","",""
"南安普顿大学
University of Southampton","","",""
"布里斯托大学
University of Bristol","","",""
"","","81.11",""
"","诺森比亚大学","",""
"","北京师范大学-香港浸会大学联合国际学院","",""
"","","","申请失败"
"","天津大学","",""
"考文垂大学
Coventry University","","",""
"","","申请时无均分成绩",""
"北安普顿大学
The University of Northampton","","",""
"","福建师范大学","",""
"","","3.3",""
"布里斯托大学
University of Bristol","","",""
"伦敦大学国王学院
King’s College London","","",""
"","","申请时无均分成绩",""
"","新疆大学","",""
"","普利茅斯大学","",""
"","","85.21",""
"","湖南大学","",""
"","","77.71",""
"克兰菲尔德大学
Cranfield University","","",""
"","","","申请成功"
"","朴次茅斯大学","",""
"","北京师范大学珠海分校","",""
"","","","申请成功"
"","山东财经大学","",""
"","","","申请成功"
"","","","申请成功"
"","东北大学秦皇岛分校","",""
"","","申请时无均分成绩",""
"","天津音乐学院","",""
"","","","申请成功"
"","","申请时无均分成绩",""
"","天津师范大学","",""
"","","","申请成功"
