desti,from,gpa,result
"","","3.3",""
"","山西财经大学","",""
"","","","申请成功"
"","","84.7",""
"格拉斯哥大学
University of Glasgow","","",""
"","","82.79",""
"","普利茅斯大学","",""
"","","申请时无均分成绩",""
"","","申请时无均分成绩",""
"","南京外国语学校仙林分校","",""
"","","","申请成功"
"","","81.7",""
"伦敦大学国王学院
King’s College London","","",""
"","江苏大学","",""
"","","","申请成功"
"","湖南农业大学","",""
"","","84.86",""
"","贝德福德大学","",""
"","","81",""
"谢菲尔德大学
The University of Sheffield","","",""
"","","80.4",""
"曼彻斯特大学
The University of Manchester","","",""
"格拉斯哥大学
University of Glasgow","","",""
"","西南财经大学天府学院","",""
"","","申请时无海外学生成绩",""
"","","申请时无均分成绩",""
"","","","申请成功"
"","","","申请成功"
"","","71.82",""
"","","","申请失败"
"","","","申请成功"
"","","","申请成功"
"","","","申请失败"
"","","申请时无均分成绩",""
"","江苏科技大学","",""
"利兹大学
University of Leeds","","",""
"曼彻斯特大学
The University of Manchester","","",""
"","","87.76",""
"","","申请时无均分成绩",""
"","","申请时无均分成绩",""
"","","","申请失败"
"伦敦大学国王学院
King’s College London","","",""
"","100088","",""
"","","2.9",""
"","","7.258",""
"","","","申请失败"
"","考文垂大学","",""
"","","85.1",""
"","","申请时无合办项目成绩",""
"","中央兰开夏大学","",""
"","普利茅斯大学","",""
"","","81.49",""
"","林肯大学","",""
"","上海交通大学","",""
"","","","申请失败"
"","","","申请成功"
"","南京工程学院","",""
"","","","申请失败"
"约克大学
University of York","","",""
"","","84.3",""
"","南阳理工学院","",""
"","","","申请成功"
"","哈德斯菲尔德大学","",""
"","","申请时无均分成绩",""
"","","2.31",""
"利兹大学
University of Leeds","","",""
"","","83.13",""
"","","","申请成功"
"纽卡斯尔大学
The University of Newcastle","","",""
"","东南大学","",""
"","重庆理工大学","",""
"","","","申请成功"
"","","70",""
"","北京大学","",""
"","","","申请成功"
"","","80",""
"","","申请时无均分成绩",""
"","集美大学诚毅学院","",""
"纽卡斯尔大学
Newcastle University","","",""
"基尔大学
Keele University","","",""
"格里菲斯大学
Griffith University","","",""
"南安普顿大学
University of Southampton","","",""
"","江西财经大学","",""
"布里斯托大学
University of Bristol","","",""
"","","申请时无海外学生成绩",""
"","卡迪夫城市大学","",""
"南安普顿大学
University of Southampton","","",""
"","","","申请失败"
"","","","申请失败"
"","天津大学","",""
"","宁波诺丁汉大学","",""
"拉夫堡大学
Loughborough University","","",""
"","","申请时无均分成绩",""
"","华东交通大学理工学院","",""
"","武汉工程大学","",""
"","","82",""
"","","申请时无均分成绩",""
"","","","申请成功"
"","","","申请成功"
"","西安交通大学","",""
"","","","申请成功"
"","","85.8",""
"伦敦大学皇家霍洛威学院
Royal Holloway, University of London","","",""
"","南开大学滨海学院","",""
"","","","申请成功"
"莱斯特大学
University of Leicester","","",""
"","","3.51",""
"","","申请时无海外学生成绩",""
"","","3.44",""
"","朴次茅斯大学","",""
"","罗瑞尔大学","",""
"","","","申请成功"
"","包头市第九中学","",""
"","华东师范大学","",""
"泰勒学院悉尼校区
Taylors College Sydney Campus","","",""
"贝尔法斯特女王大学
Queen＇s University Belfast","","",""
"","四川大学锦江学院","",""
"","德蒙特福大学","",""
"","","申请时无均分成绩",""
"","","","申请成功"
"","","","申请成功"
"利兹大学
University of Leeds","","",""
"墨尔本大学
The University of Melbourne","","",""
"","","","申请失败"
"","","","申请失败"
"","","86.7",""
"","中国青年政治学院","",""
"","华东师范大学","",""
"","","","申请成功"
"","","申请时无均分成绩",""
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"利兹大学
University of Leeds","","",""
"","","申请时无海外学生成绩",""
"伦敦大学国王学院
King’s College London","","",""
"","淮阴师范学院","",""
"","","3.24",""
"","中央兰开夏大学","",""
"","","","申请成功"
"","广西师范大学","",""
"","长江大学","",""
"伯明翰大学
University of Birmingham","","",""
"","朴次茅斯大学","",""
"","","","申请成功"
"","","","申请失败"
"伦敦大学玛丽皇后学院
Queen Mary, University of London","","",""
"","","申请时无均分成绩",""
"","河北地质大学","",""
"","","80",""
"曼彻斯特大学
The University of Manchester","","",""
"","","80.11",""
"","桂林航天工业学院","",""
"纽卡斯尔大学
Newcastle University","","",""
"谢菲尔德大学
The University of Sheffield","","",""
"","华南农业大学","",""
"","广西师范大学","",""
"伦敦大学国王学院
King’s College London","","",""
"","","","申请失败"
"","","","申请失败"
"南安普顿大学
University of Southampton","","",""
"","利物浦大学","",""
"","","","申请失败"
"","","2.76",""
"利兹大学
University of Leeds","","",""
"","南京工业大学","",""
"","","","申请成功"
"","","","申请成功"
"","中国石油大学","",""
"","","","申请成功"
"","东华理工大学","",""
"爱丁堡大学
The University of Edinburgh","","",""
"","","申请时无合办项目成绩",""
"","","73.05",""
"","广东科技学院","",""
"","","","申请失败"
"","","2.93",""
"","吉林大学珠海学院","",""
"雷丁大学
University of Reading","","",""
"","","","申请成功"
"","","","申请成功"
"","","2.2",""
"","","","申请失败"
"曼彻斯特大学
The University of Manchester","","",""
"","广州大学","",""
"","","80",""
"","","81",""
"","","","申请失败"
"考文垂大学
Coventry University","","",""
"","","","申请失败"
"新南威尔士大学
University of New South Wales","","",""
"","","申请时无海外学生成绩",""
"","","2.35",""
"基尔大学
Keele University","","",""
"","","","申请失败"
"莫纳什大学
Monash University","","",""
"拉夫堡大学
Loughborough University","","",""
"","","78",""
"","南开大学滨海学院","",""
"","","申请时无均分成绩",""
"","","","申请成功"
"","南京航空航天大学","",""
"","新疆大学","",""
"伦敦大学金史密斯学院
Goldsmiths, University of London","","",""
"","","申请时无均分成绩",""
"","盐城师范学院","",""
"","中央财经大学","",""
"","","3.45",""
"利兹大学
University of Leeds","","",""
"南安普顿大学
University of Southampton","","",""
"","","","申请成功"
"","中国石油大学","",""
"曼彻斯特大学
The University of Manchester","","",""
"南安普顿大学
University of Southampton","","",""
"格拉斯哥大学
University of Glasgow","","",""
"","河海大学","",""
"布里斯托大学
University of Bristol","","",""
"","浙江工业大学","",""
"","","","申请成功"
"","","","申请失败"
"曼彻斯特大学
The University of Manchester","","",""
"","","申请时无合办项目成绩",""
"","","","申请成功"
"约克大学
University of York","","",""
"","","","申请成功"
"","南京审计学院","",""
"","澳门大学","",""
"","朴次茅斯大学","",""
"伦敦大学国王学院
King’s College London","","",""
"","","2.65",""
"曼彻斯特大学
The University of Manchester","","",""
"","中国药科大学","",""
"","","","申请失败"
"","","82.8",""
"埃塞克斯大学
University of Essex","","",""
"","西安电子科技大学","",""
"","","74.8",""
"","中南林业科技大学","",""
"","","78",""
"伯明翰大学
University of Birmingham","","",""
"","","","申请成功"
"","","2.1",""
"","","","申请成功"
"","","2.7",""
"","","","申请成功"
"","","80.1",""
"兰卡斯特大学
Lancaster University","","",""
"","山东科技大学","",""
"伦敦大学皇家霍洛威学院
Royal Holloway, University of London","","",""
"","","3.23",""
"斯旺西大学
Swansea University","","",""
"","西南财经大学","",""
"","利物浦大学","",""
"","","85",""
"东英吉利大学
University of East Anglia","","",""
"","天津师范大学","",""
"爱丁堡大学
The University of Edinburgh","","",""
"卡迪夫大学
Cardiff University","","",""
"","","3.92",""
"","南威尔士大学","",""
"","北安普敦大学","",""
"布里斯托大学
University of Bristol","","",""
"","河北科技大学","",""
"","","86",""
"","武汉大学","",""
"","江西师范大学","",""
"萨塞克斯大学
University of Sussex","","",""
"","","申请时无均分成绩",""
"","","","申请成功"
"","","3.43",""
"","","87.47",""
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请成功"
"","韩国中央大学","",""
"萨塞克斯大学
University of Sussex","","",""
"布里斯托大学
University of Bristol","","",""
"","上海戏剧学院","",""
"","思克莱德大学","",""
"都柏林大学
University College Dublin","","",""
"","","","申请成功"
"","","","申请成功"
"","湖南农业大学","",""
"","","","申请失败"
"南安普顿大学
University of Southampton","","",""
"","","","申请失败"
"","","申请时无均分成绩",""
"","","3.318",""
"","普利茅斯大学","",""
"","","","申请失败"
"","广东财经大学","",""
"","","3.74",""
"","","申请时无均分成绩",""
"","","","申请成功"
"","","79.6",""
"伦敦大学国王学院
King’s College London","","",""
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请成功"
"","","","申请成功"
"","","89.5",""
"","","","申请成功"
"","德蒙福特大学","",""
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请成功"
"","","","申请成功"
"","","","申请失败"
"拉夫堡大学
Loughborough University","","",""
"","","","申请失败"
"","上海外国语大学贤达经济人文学院","",""
"","","","申请失败"
"","","2.85",""
"","","申请时无海外学生成绩",""
"","朴次茅斯大学","",""
"","中国矿业大学（北京）","",""
"","","","申请成功"
"","","","申请成功"
"","宁夏大学","",""
"","","2.1",""
"","西安交通大学","",""
"","","3.4",""
"","","","申请成功"
"","","62",""
"","","","申请成功"
"弗林德斯大学
Flinders University","","",""
"","","","申请失败"
"","德蒙特福大学","",""
"","","","申请成功"
"","","","申请失败"
"","哈德斯菲尔德大学","",""
"","","","申请成功"
"","北京师范大学珠海分校","",""
"曼彻斯特大学
The University of Manchester","","",""
"利物浦大学
University of Liverpool","","",""
"","","申请时无均分成绩",""
"","","","申请失败"
"埃克塞特大学
University of Exeter","","",""
"布里斯托大学
University of Bristol","","",""
"","","3.7",""
"米德塞克斯大学
Middlesex University London","","",""
"","河南大学","",""
"伦敦大学国王学院
King’s College London","","",""
"伦敦大学国王学院
King’s College London","","",""
"","","","申请失败"
"","","2.11",""
"","成都东软学院","",""
"","中央兰开夏大学","",""
"","","88.2",""
"格拉斯哥艺术学院
The Glasgow School of Art","","",""
"","厦门大学","",""
"","","","申请失败"
"","","申请时无均分成绩",""
"约克大学
University of York","","",""
"","","3.54",""
"","","3.26",""
"","南京信息工程大学滨江学院","",""
"利兹大学
University of Leeds","","",""
"","","81.5",""
"","青岛大学","",""
"","","","申请成功"
"约克大学
University of York","","",""
"","","2.1",""
"","","","申请成功"
"","","83.28",""
"","","","申请失败"
"伦敦大学金史密斯学院
Goldsmiths, University of London","","",""
"","","",""
"","西安建筑科技大学","",""
"","","","申请失败"
"","","","申请失败"
"","","","申请失败"
"","","4.35",""
"","","3.72",""
"","南京航空航天大学金城学院","",""
"","","86.87",""
"","","","申请成功"
"","","83.03",""
"布里斯托大学
University of Bristol","","",""
"","静宜大学","",""
"","中国青年政治学院","",""
"","","","申请失败"
"","","3.8",""
"","哈尔滨工程大学","",""
"","","80",""
"","","2.78",""
"格拉斯哥大学
University of Glasgow","","",""
"","东北林业大学","",""
"","","","申请成功"
"","","","申请成功"
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请失败"
"利物浦大学
University of Liverpool","","",""
"伦敦大学玛丽皇后学院
Queen Mary, University of London","","",""
"","河北交通职业技术学院","",""
"米德塞克斯大学
Middlesex University London","","",""
"","中国人民大学","",""
"","","86.14",""
"","","","申请成功"
"","","","申请失败"
"","深圳大学","",""
"","深圳大学","",""
"","","","申请失败"
"","","申请时无均分成绩",""
"","","","申请失败"
"雷丁大学
University of Reading","","",""
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"","","申请时无均分成绩",""
"","西南石油大学","",""
"伦敦大学国王学院
King’s College London","","",""
"","北京师范大学珠海分校","",""
"","武汉理工大学","",""
"南安普顿大学
University of Southampton","","",""
"","","","申请成功"
"","","申请时无均分成绩",""
"","","","申请失败"
"布里斯托大学
University of Bristol","","",""
"","中国海洋大学","",""
"曼彻斯特大学
The University of Manchester","","",""
"杜伦大学
Durham University","","",""
"","南京信息工程大学滨江学院","",""
"伦敦大学国王学院
King’s College London","","",""
"卡迪夫大学
Cardiff University","","",""
"","","81",""
"","","3.76",""
"","山西财经大学","",""
"","上海对外经贸大学","",""
"卡迪夫大学
Cardiff University","","",""
"利兹大学
University of Leeds","","",""
"","","申请时无海外学生成绩",""
"","","","申请失败"
"","","","申请失败"
"利兹大学
University of Leeds","","",""
"曼彻斯特大学
The University of Manchester","","",""
"布里斯托大学
University of Bristol","","",""
"","","","申请失败"
"","中山大学","",""
"","云南财经大学","",""
"","","","申请成功"
"","","","申请失败"
"","","","申请成功"
"利兹大学
University of Leeds","","",""
"","广东技术师范学院天河学院","",""
"","","申请时无海外学生成绩",""
"","","","申请成功"
"","","","申请成功"
"","","70",""
"","","","申请成功"
"","北京航空航天大学","",""
"","","3.36",""
"","","申请时无海外学生成绩",""
"谢菲尔德大学
The University of Sheffield","","",""
"","","81",""
"","","","申请失败"
"","","","申请失败"
"","","70",""
"","普利茅斯大学","",""
"阿伯丁大学
The University of Aberdeen","","",""
"","","50",""
"纽卡斯尔大学
Newcastle University","","",""
"","","申请时无均分成绩",""
"","哈德斯菲尔德大学","",""
"","","","申请失败"
"","上海对外经贸大学","",""
"","","","申请失败"
"利兹大学
University of Leeds","","",""
"","","80",""
"","江西财经大学","",""
"","","77.44",""
"","","62",""
"","","","申请成功"
"萨里大学
University of Surrey","","",""
"","","3.57",""
"","","","申请成功"
"拉夫堡大学
Loughborough University","","",""
"","","","申请失败"
"","浙江农林大学","",""
"","伦敦大学皇家霍洛威学院","",""
"","普利茅斯大学","",""
"墨尔本皇家理工大学
RMIT University","","",""
"","","","申请成功"
"谢菲尔德大学
The University of Sheffield","","",""
"","","","申请失败"
"","上海立信会计学院","",""
"","","2.1",""
"","首都师范大学","",""
"","","","申请失败"
"","","","申请成功"
"伯明翰大学
University of Birmingham","","",""
"约克大学
University of York","","",""
"","对外经济贸易大学","",""
"","","90.3",""
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请成功"
"","","84.54",""
"","","76.06",""
"澳大利亚国立大学
The Australian National University","","",""
"","","","申请成功"
"","","83.07",""
"布里斯托大学
University of Bristol","","",""
"格拉斯哥大学
University of Glasgow","","",""
"","","","申请成功"
"","","","申请成功"
"","","申请时无均分成绩",""
"","","申请时无均分成绩",""
"布里斯托大学
University of Bristol","","",""
"","暨南大学","",""
"","南昌大学","",""
"","德蒙福特大学","",""
"","","85",""
"拉夫堡大学
Loughborough University","","",""
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"利兹大学
University of Leeds","","",""
"威斯敏斯特大学
University of Westminster","","",""
"伯明翰大学
University of Birmingham","","",""
"卡迪夫大学
Cardiff University","","",""
"","","2.45",""
"拉夫堡大学
Loughborough University","","",""
"新南威尔士大学
University of New South Wales","","",""
"","","申请时无海外学生成绩",""
"","太原市实验中学校","",""
"","河南大学","",""
"","","","申请成功"
"","河南师范大学","",""
"","","","申请失败"
"谢菲尔德大学
The University of Sheffield","","",""
"巴斯大学
University of Bath","","",""
"","","88",""
"","","","申请成功"
"","","","申请失败"
"","大连外国语大学","",""
"曼彻斯特大学
The University of Manchester","","",""
"纽卡斯尔大学
Newcastle University","","",""
"","中央兰开夏大学","",""
"","","","申请成功"
"利物浦大学
University of Liverpool","","",""
"","","","申请失败"
"","江南大学","",""
"","","83.63",""
"昆士兰大学
The University of Queensland","","",""
"","麻省大学波士顿分校","",""
"","","申请时无均分成绩",""
"","","申请时无均分成绩",""
"","","","申请成功"
"","","2.8",""
"","广东技术师范学院天河学院","",""
"","","","申请失败"
"","云南财经大学","",""
"","","","申请成功"
"卡迪夫大学
Cardiff University","","",""
"诺丁汉大学
The University of Nottingham","","",""
"曼彻斯特大学
The University of Manchester","","",""
"","","3.23",""
"埃克塞特大学
University of Exeter","","",""
"","","","申请成功"
"","","70",""
"","北京航空航天大学","",""
"","","","申请成功"
"","","","申请成功"
"曼彻斯特大学
The University of Manchester","","",""
"布里斯托大学
University of Bristol","","",""
"","朴茨茅斯大学","",""
"","","83.63",""
"","","84.42",""
"","","74",""
"","","3.09",""
"","","3.1",""
"曼彻斯特大学
The University of Manchester","","",""
"布里斯托大学
University of Bristol","","",""
"","","","申请失败"
"","","","申请成功"
"","中南大学","",""
"","","56",""
"","","3.12",""
"","铭传大学","",""
"","集美大学诚毅学院","",""
"","中国音乐学院","",""
"","","申请时无均分成绩",""
"","上海工程技术大学","",""
"塔斯马尼亚大学
University of Tasmania","","",""
"阿德莱德大学
The University of Adelaide","","",""
"曼彻斯特大学
The University of Manchester","","",""
"萨里大学
University of Surrey","","",""
"","新疆财经大学","",""
"","巴斯斯巴大学","",""
"","","","申请成功"
"","","3.02",""
"萨里大学
University of Surrey","","",""
"","","申请时无均分成绩",""
"曼彻斯特大学
The University of Manchester","","",""
"萨塞克斯大学
University of Sussex","","",""
"曼彻斯特大学
The University of Manchester","","",""
"","浙江工商大学","",""
"","","","申请成功"
"","","84",""
"","","","申请失败"
"","河海大学","",""
"","","3.23",""
"","","3.45",""
"谢菲尔德大学
The University of Sheffield","","",""
"","","","申请成功"
"","","3.08",""
"","","","申请成功"
"","","","申请成功"
"萨里大学
University of Surrey","","",""
"","吉林建筑大学","",""
"曼彻斯特大学
The University of Manchester","","",""
"","","3.08",""
"","","","申请成功"
"","谢菲尔德哈勒姆大学","",""
"","","73",""
"","130031","",""
"","上海杉达学院","",""
"","","","申请成功"
"","","3.39",""
"","","","申请失败"
"","","","申请成功"
"","","","申请成功"
"卡尔顿大学
Carleton University","","",""
"","格林威治大学","",""
"","","","申请成功"
"","","","申请失败"
"","","82",""
"","天津商业大学","",""
"","","","申请成功"
"","南威尔士大学","",""
"","宁波诺丁汉大学","",""
"","","3.28",""
"格拉斯哥大学
University of Glasgow","","",""
"谢菲尔德大学
The University of Sheffield","","",""
"","","86.49",""
"","利物浦大学","",""
"伦敦大学国王学院
King’s College London","","",""
"","德蒙福特大学","",""
"","","","申请成功"
"","浙江工业大学","",""
"","澳门科技大学","",""
"","中央兰开夏大学","",""
"","朴次茅斯大学","",""
"","中央司法警官学院","",""
"","南华大学船山学院","",""
"","","82",""
"利兹大学
University of Leeds","","",""
"","","","申请成功"
"","","","申请成功"
"","","85",""
"","","75",""
"","","75.56",""
"","","","申请失败"
"","","","申请成功"
"伦敦大学国王学院
King’s College London","","",""
"埃克塞特大学
University of Exeter","","",""
"","","3.05",""
"","","","申请成功"
"","","","申请成功"
"","","3.28",""
"","","",""
"","对外经济贸易大学","",""
"","","3.27",""
"","","申请时无海外学生成绩",""
"","","","申请成功"
"斯特灵大学
University of Stirling","","",""
"","","","申请成功"
"","","","申请成功"
"","","申请时无均分成绩",""
"","四川外国语大学","",""
"谢菲尔德大学
The University of Sheffield","","",""
"","海南大学","",""
"","","","申请成功"
"","","","申请失败"
"","","3.4",""
"","贝尔法斯特女王大学","",""
"曼彻斯特大学
The University of Manchester","","",""
"","西安建筑科技大学","",""
"","普利茅斯大学","",""
"","基尔大学","",""
"","浙江大学城市学院","",""
"","","","申请失败"
"","","","申请失败"
"","","","申请失败"
"曼彻斯特大学
The University of Manchester","","",""
"南安普顿大学
University of Southampton","","",""
"","","","申请成功"
"伯明翰大学
University of Birmingham","","",""
"","","","申请成功"
"","","","申请失败"
"","","79.7",""
"","安徽大学","",""
"","","","申请失败"
"利物浦大学
University of Liverpool","","",""
"","华侨大学","",""
"","北京交通大学","",""
"","南方医科大学","",""
"曼彻斯特大学
The University of Manchester","","",""
"曼彻斯特大学
The University of Manchester","","",""
"","","3.46",""
"","","","申请失败"
"南安普顿大学
University of Southampton","","",""
"","","","申请成功"
"","","2.9",""
"","伯明翰城市大学","",""
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"","","85.9",""
"","","","申请成功"
"","武汉大学","",""
"","","申请时无海外学生成绩",""
"爱丁堡大学
The University of Edinburgh","","",""
"","","","申请成功"
"","北京交通大学","",""
"","","","申请成功"
"","","3.67",""
"","","","申请失败"
"","浙江大学","",""
"","","","申请成功"
"杜伦大学
Durham University","","",""
"","云南财经大学","",""
"卡迪夫大学
Cardiff University","","",""
"爱丁堡大学
The University of Edinburgh","","",""
"","中央兰开夏大学","",""
"","","","申请成功"
"","","54",""
"","","91.5",""
"","","","申请成功"
"","","","申请成功"
"利物浦大学
University of Liverpool","","",""
"","哈德斯菲尔德大学","",""
"","","86",""
"","","76",""
"萨塞克斯大学
University of Sussex","","",""
"","山东财经大学","",""
"","","3.7",""
"曼彻斯特大学
The University of Manchester","","",""
"伦敦大学玛丽皇后学院
Queen Mary, University of London","","",""
"","","85",""
"东英吉利大学
University of East Anglia","","",""
"","","申请时无均分成绩",""
"","","","申请成功"
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请成功"
"","","","申请成功"
"","","3.08",""
"伦敦大学城市学院
City, University of London","","",""
"","上海理工大学","",""
"","","92.24",""
"","","3.06",""
"","华东师范大学","",""
"","","","申请成功"
"","","87",""
"","","申请时无海外学生成绩",""
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请成功"
"","","","申请成功"
"","","83.78",""
"","牛津布鲁克斯大学","",""
"曼彻斯特大学
The University of Manchester","","",""
"","吉林大学珠海学院","",""
"","","78.53",""
"","","3.45",""
"","西安邮电大学","",""
"","","","申请成功"
"卡迪夫大学
Cardiff University","","",""
"","","","申请成功"
"","","申请时无海外学生成绩",""
"布里斯托大学
University of Bristol","","",""
"谢菲尔德大学
The University of Sheffield","","",""
"","北京电影学院","",""
"","北京师范大学-香港浸会大学联合国际学院","",""
"","","3.68",""
"","","","申请成功"
"","","88.7",""
"","同济大学","",""
"","","83.2",""
"伯明翰大学
University of Birmingham","","",""
"拉夫堡大学
Loughborough University","","",""
"","兰卡斯特大学","",""
"","苏州大学","",""
"","西安理工大学","",""
"","","3.95",""
"","","2.76",""
"","","申请时无均分成绩",""
"","内蒙古大学","",""
"","西南财经大学","",""
"","","","申请失败"
"","","","申请失败"
"肯特大学
University of Kent","","",""
"","","90",""
"","西安建筑科技大学","",""
"","","申请时无海外学生成绩",""
"雷丁大学
University of Reading","","",""
"","朴次茅斯大学","",""
"","","","申请成功"
"","华东政法大学","",""
"谢菲尔德大学
The University of Sheffield","","",""
"","","3.67",""
"","","","申请成功"
"萨塞克斯大学
University of Sussex","","",""
"","","3.53",""
"","","73.7",""
"","","87.5",""
"","","87",""
"","上海海事大学","",""
"","青岛科技大学","",""
"利兹大学
University of Leeds","","",""
"","","申请时无GPA成绩",""
"","","","申请成功"
"","天津师范大学","",""
"","","2.21",""
"伦敦大学国王学院
King’s College London","","",""
"","","申请时无均分成绩",""
"","","","申请成功"
"","","",""
"","","65",""
"曼彻斯特大学
The University of Manchester","","",""
"","温州医科大学","",""
"","","申请时无均分成绩",""
"伦敦大学国王学院
King’s College London","","",""
"萨塞克斯大学
University of Sussex","","",""
"","","","申请失败"
"","","88.05",""
"","","","申请成功"
"","","申请时无均分成绩",""
"","","3.7",""
"","南京大学金陵学院","",""
"谢菲尔德大学
The University of Sheffield","","",""
"格拉斯哥大学
University of Glasgow","","",""
"","","","申请失败"
"","","","申请成功"
"","西南大学","",""
"","福建工程学院","",""
"","大连外国语大学","",""
"曼彻斯特大学
The University of Manchester","","",""
"曼彻斯特大学
The University of Manchester","","",""
"","郑州航空工业管理学院","",""
"","北京师范大学珠海分校","",""
"","","","申请成功"
"","","","申请成功"
"伦敦大学玛丽皇后学院
Queen Mary, University of London","","",""
"伯明翰大学
University of Birmingham","","",""
"新南威尔士大学
University of New South Wales","","",""
"","","","申请失败"
"伯明翰大学
University of Birmingham","","",""
"","","81.97",""
"","利物浦大学","",""
"莱斯特大学
University of Leicester","","",""
"","","","申请成功"
"南安普顿大学
University of Southampton","","",""
"曼彻斯特大学
The University of Manchester","","",""
"","南京财经大学","",""
"","林肯大学","",""
"曼彻斯特大学
The University of Manchester","","",""
"","北京师范大学珠海分校","",""
"","","82.79",""
"","","","申请失败"
"曼彻斯特大学
The University of Manchester","","",""
"巴斯大学
University of Bath","","",""
"","温州大学","",""
"谢菲尔德大学
The University of Sheffield","","",""
"","长沙理工大学","",""
"","","","申请成功"
"拉夫堡大学
Loughborough University","","",""
"","广东外语外贸大学","",""
"","上海大学","",""
"","北京工商大学","",""
"","","","申请失败"
"","新疆轻工职业技术学院","",""
"","","","申请失败"
"","布拉德福德大学","",""
"","","","申请成功"
"","","","申请成功"
"谢菲尔德大学
The University of Sheffield","","",""
"","中央兰开夏大学","",""
"","","2.79",""
"","","87",""
"","贵州师范大学","",""
"","","申请时无均分成绩",""
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请成功"
"","","","申请失败"
"卡迪夫大学
Cardiff University","","",""
"","","申请时无均分成绩",""
"","北京师范大学珠海分校","",""
"","澳门科技大学","",""
"","","","申请失败"
"","阿利坎特大学","",""
"利兹大学
University of Leeds","","",""
"悉尼科技大学
University of Technology, Sydney","","",""
"","","3.21",""
"","朴次茅斯大学","",""
"阿德莱德大学
The University of Adelaide","","",""
"","","申请时无海外学生成绩",""
"布里斯托大学
University of Bristol","","",""
"","北京语言大学","",""
"","伦敦艺术大学","",""
"","","","申请失败"
"","","","申请失败"
"","","79.84",""
"","北京师范大学珠海分校","",""
"","","申请时无海外学生成绩",""
"","东华大学","",""
"","","3.95",""
"","广东外语外贸大学","",""
"","","申请时无均分成绩",""
"","","","申请成功"
"","萨塞克斯大学","",""
"","上海视觉艺术学院","",""
"曼彻斯特大学
The University of Manchester","","",""
"","","2.45",""
"谢菲尔德大学
The University of Sheffield","","",""
"","","","申请失败"
"阿伯丁大学
The University of Aberdeen","","",""
"","","申请时无均分成绩",""
"曼彻斯特大学
The University of Manchester","","",""
"","普利茅斯大学","",""
"","","3.69",""
"","","","申请失败"
"","","78",""
"曼彻斯特大学
The University of Manchester","","",""
"谢菲尔德哈勒姆大学
Sheffield Hallam University","","",""
"纽卡斯尔大学
Newcastle University","","",""
"","湖南师范大学","",""
"","","79",""
"","浙江工业大学","",""
"","","","申请成功"
"","","","申请成功"
"赫尔大学
University of Hull","","",""
"埃克塞特大学
University of Exeter","","",""
"","","","申请失败"
"","","申请时无合办项目成绩",""
"","伯恩茅斯大学","",""
"伦敦大学亚非学院
SOAS, University of London","","",""
"萨里大学
University of Surrey","","",""
"","","","申请成功"
"雷丁大学
University of Reading","","",""
"","","50",""
"","圣杰纳维夫高中","",""
"","","","申请成功"
"","","","申请成功"
"伦敦大学国王学院
King’s College London","","",""
"","","","申请成功"
"","","79",""
"","","","申请成功"
"","普利茅斯大学","",""
"萨塞克斯大学
University of Sussex","","",""
"","","2.76",""
"伦敦大学国王学院
King’s College London","","",""
"","华东师范大学","",""
"","","85.75",""
"","马来西亚博特拉大学","",""
"","","","申请成功"
"","上海海洋大学","",""
"","中国计量大学现代科技学院","",""
"曼彻斯特大学
The University of Manchester","","",""
"","利物浦大学","",""
"","谢菲尔德大学","",""
"","","","申请失败"
"","","","申请失败"
"","宁波大红鹰学院","",""
"","","","申请失败"
"卡迪夫大学
Cardiff University","","",""
"","","80.035",""
"","","3.33",""
"","中国石油大学（华东）","",""
"","","","申请失败"
"","","81",""
"约克大学
University of York","","",""
"","中国政法大学","",""
"","","","申请成功"
"","中华女子学院","",""
"","","3.35",""
"格拉斯哥大学
University of Glasgow","","",""
"曼彻斯特大学
The University of Manchester","","",""
"","","3.31",""
"","","80.9",""
"","","申请时无均分成绩",""
"","中央兰开夏大学","",""
"","","申请时无海外学生成绩",""
"","","","申请失败"
"","四川外国语大学","",""
"","山东大学（威海）","",""
"","诺斯伍德大学","",""
"","","申请时无均分成绩",""
"利兹大学
University of Leeds","","",""
"","","74",""
"","","","申请成功"
"","哈尔滨工业大学","",""
"","河北工程大学","",""
"利兹大学
University of Leeds","","",""
"","","申请时无均分成绩",""
"兰卡斯特大学
Lancaster University","","",""
"","西安交通大学城市学院","",""
"","林肯大学","",""
"斯特拉斯克莱德大学
University of Strathclyde","","",""
"曼彻斯特大学
The University of Manchester","","",""
"","郴州市第三中学","",""
"","","申请时无海外学生成绩",""
"","普利茅斯大学","",""
"萨塞克斯大学
University of Sussex","","",""
"埃克塞特大学
University of Exeter","","",""
"","","","申请失败"
"布里斯托大学
University of Bristol","","",""
"曼彻斯特大学
The University of Manchester","","",""
